,Unnamed: 0,raw_text,aspectTerms
0,0,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!","[{'term': 'appetizers', 'polarity': 'positive'}, {'term': 'salads', 'polarity': 'positive'}, {'term': 'steak', 'polarity': 'positive'}, {'term': 'pasta', 'polarity': 'positive'}]"
1,1,And really large portions.,"[{'term': 'portions', 'polarity': 'positive'}]"
2,2,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,"[{'term': 'sweet lassi', 'polarity': 'positive'}, {'term': 'lamb chettinad', 'polarity': 'positive'}, {'term': 'garlic naan', 'polarity': 'positive'}, {'term': 'rasamalai', 'polarity': 'negative'}]"
3,3,Service was quick.,"[{'term': 'Service', 'polarity': 'positive'}]"
4,4,"Oh, don't even let me start with how expensive the bills were!","[{'term': 'bills', 'polarity': 'negative'}]"
5,5,Service is top notch.,"[{'term': 'Service', 'polarity': 'positive'}]"
6,6,The best thing I tasted were the lambc hops.,"[{'term': 'lambc hops', 'polarity': 'positive'}]"
7,7,"Even though its good seafood, the prices are too high.","[{'term': 'seafood', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'negative'}]"
8,8,"In addition, the food is very good and the prices are reasonable.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
9,9,The food is great and authentic.,"[{'term': 'food', 'polarity': 'positive'}]"
10,10,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.","[{'term': 'garlic shrimp', 'polarity': 'positive'}, {'term': 'okra (bindi)', 'polarity': 'positive'}, {'term': 'lamb', 'polarity': 'positive'}]"
11,11,"The menu was impressive with selections ranging from a burger, to steak, to escargot.","[{'term': 'menu', 'polarity': 'positive'}, {'term': 'burger', 'polarity': 'neutral'}, {'term': 'steak', 'polarity': 'neutral'}, {'term': 'escargot', 'polarity': 'neutral'}]"
12,12,very good breads as well.,"[{'term': 'breads', 'polarity': 'positive'}]"
13,13,"Anyway, the food is good, the price is right and they have a decent wine list.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'wine list', 'polarity': 'positive'}]"
14,14,The food was lousy -too sweet or too salty and the portions tiny.,"[{'term': 'food', 'polarity': 'negative'}, {'term': 'portions', 'polarity': 'negative'}]"
15,15,But the coconut rice was good.,"[{'term': 'coconut rice', 'polarity': 'positive'}]"
16,16,And the Tom Kha soup was pathetic.,"[{'term': 'Tom Kha soup', 'polarity': 'negative'}]"
17,17,The food now is inconsistent.,"[{'term': 'food', 'polarity': 'negative'}]"
18,18,"Try the crunchy tuna, it is to die for.","[{'term': 'crunchy tuna', 'polarity': 'positive'}]"
19,19,Reasonable prices.,"[{'term': 'prices', 'polarity': 'positive'}]"
20,20,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]"
21,21,"Unfortunately, the food was NOT something to get worked up about.","[{'term': 'food', 'polarity': 'negative'}]"
22,22,The food is great and reasonably priced.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'priced', 'polarity': 'positive'}]"
23,23,"Their calzones are horrific, bad, vomit-inducing, YUCK.","[{'term': 'calzones', 'polarity': 'negative'}]"
24,24,"A few tips: skip the turnip cake, roast pork buns and egg custards.","[{'term': 'turnip cake', 'polarity': 'negative'}, {'term': 'roast pork buns', 'polarity': 'negative'}, {'term': 'egg custards', 'polarity': 'negative'}]"
25,25,The bagels are fabulous.,"[{'term': 'bagels', 'polarity': 'positive'}]"
26,26,"While the ambiance and atmosphere were great, the food and service could have been a lot better.","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}]"
