,Sentence
0,The bread is top notch as well.
1,I have to say they have one of the fastest delivery times in the city.
2,Food is always fresh and hot- ready to eat!
3,Did I mention that the coffee is OUTSTANDING?
4,"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile."
5,"I trust the people at Go Sushi, it never disappoints."
6,"Straight-forward, no surprises, very decent Japanese food."
7,"BEST spicy tuna roll, great asian salad."
8,Try the rose roll (not on menu).
9,"I love the drinks, esp lychee martini, and the food is also VERY good."
10,"In fact, this was not a Nicoise salad and was barely eatable."
11,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."
12,"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening."
13,Our waiter was horrible; so rude and disinterested.
14,The sangria's - watered down.
15,"menu - uneventful, small."
16,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.
17,Great food but the service was dreadful!
18,The portions of the food that came out were mediocre.
19,the two waitress's looked like they had been sucking on lemons.
20,"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat."
21,We enjoyed ourselves thoroughly and will be going back for the desserts ....
22,Desserts are almost incredible: my personal favorite is their Tart of the Day.
23,I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.
24,Maybe the secret was that we went on a Sunday night and everything was great.
25,"The food was extremely tasty, creatively presented and the wine excellent."
26,WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.
27,WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.
28,THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.
29,Harumi Sushi has the freshest and most delicious array of sushi in NYC.
30,"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff."
31,"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice."
32,I definitely enjoyed the food as well.
33,have always had a great time here.
34,"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable."
35,You will be very happy with the experience.
36,"The food is surprisingly good, and the decor is nice."
37,How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!
38,Two wasted steaks -- what a crime!
39,The staff should be a bit more friendly.
40,I absolutely suggest this place.
41,I think the meatball parm is good.
42,"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong."
43,Definitely try the taglierini with truffles - it was incredible.
44,"Also, the staff is very attentive and really personable."
45,"Overall, this is a great new restaurant that has been consistently good every time I have been."
46,The gnocchi literally melts in your mouth!
47,Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.
48,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana."
49,"The food is good, the teriyaki I recommend."
50,Meal was very expensive for what you get.
51,Try the Peanut Butter Sorbet and the pizza with soy cheese!
52,"Good food at the right price, what more can you ask for."
53,"We love it, and took buses and cabs to get there."
54,"If you' re in New York, you do not want to miss this place."
55,"The food is top notch, the service is attentive, and the atmosphere is great."
56,"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me."
57,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!"
58,this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.
59,"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!"
60,The whole experience was satisfying.
61,"However, it was worth the visit."
62,The menu is interesting and quite reasonably priced.
63,The food was delicious and clearly fresh ingredients were used.
64,This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.
65,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.
66,The spicy mussels are a highlight.
67,Also get the Onion Rings -- best we've ever had.
68,Would not return for the amount we paid.
69,"However, being foodies, we were utterly disappointed with the food."
70,"Huge portions, great and attentive service, and pretty good prices."
71,I was highly disappointed by their service and food.
72,"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up."
73,The food is great and the milkshakes are even better!
74,Stay away if you're claustrophobic
75,"If you're in the 'hood, definitely stop in."
76,the mushroom barley soup is amazing.
77,"On the recommendation of a friend, I checked out Arezzo with my wife."
78,"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient."
79,Their duck here is also absolutely delicious.
80,This is definitely one of the places that I have continued to come back to over the years.
81,"While it was large and a bit noisy, the drinks were fantastic, and the food was superb."
82,One caveat: Some of the curried casseroles can be a trifle harsh.
83,I wasn't impressed and it wasn't SPICEY????
84,The food was almost always EXCELLENT.
85,I was pleasently surprised at the taste.
86,"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers."
87,I never had an orange donut before so I gave it a shot.
88,"they really provide a relaxing, laid-back atmosphere."
89,This particular location certainly uses substandard meats.
90,I stumbled upon this resteraunt on my way home from the subway.
91,The Management was less than accomodating.
92,The ambience is also more laid-back and relaxed.
93,the teas are great and all the sweets are homemade.
94,mojitos and the service are the best part in there
