,Unnamed: 0,raw_text,aspectTerms
0,0,I charge it at night and skip taking the cord with me because of the good battery life.,"[{'term': 'cord', 'polarity': 'neutral'}, {'term': 'battery life', 'polarity': 'positive'}]"
1,1,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","[{'term': 'service center', 'polarity': 'negative'}, {'term': '""sales"" team', 'polarity': 'negative'}, {'term': 'tech guy', 'polarity': 'neutral'}]"
2,2,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","[{'term': 'quality', 'polarity': 'positive'}, {'term': 'GUI', 'polarity': 'positive'}, {'term': 'applications', 'polarity': 'positive'}, {'term': 'use', 'polarity': 'positive'}]"
3,3,Easy to start up and does not overheat as much as other laptops.,"[{'term': 'start up', 'polarity': 'positive'}]"
4,4,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!","[{'term': 'features', 'polarity': 'positive'}, {'term': 'iChat', 'polarity': 'positive'}, {'term': 'Photobooth', 'polarity': 'positive'}, {'term': 'garage band', 'polarity': 'positive'}]"
5,5,Great laptop that offers many great features!,"[{'term': 'features', 'polarity': 'positive'}]"
6,6," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","[{'term': 'GUI', 'polarity': 'negative'}, {'term': 'screen', 'polarity': 'negative'}, {'term': 'power light', 'polarity': 'neutral'}, {'term': 'hard drive light', 'polarity': 'negative'}]"
7,7,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,"[{'term': 'battery', 'polarity': 'neutral'}]"
8,8,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","[{'term': 'rubber enclosure', 'polarity': 'positive'}, {'term': 'edge', 'polarity': 'negative'}]"
9,9,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","[{'term': 'multi-touch gestures', 'polarity': 'positive'}, {'term': 'tracking area', 'polarity': 'positive'}, {'term': 'external mouse', 'polarity': 'neutral'}, {'term': 'gaming', 'polarity': 'neutral'}]"
