,Unnamed: 0,raw_text,aspectTerms
0,0,I liked the aluminum body.,"[{'term': 'aluminum body', 'polarity': 'positive'}]"
1,1,Lightweight and the screen is beautiful!,"[{'term': 'screen', 'polarity': 'positive'}]"
2,2,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.","[{'term': 'build quality', 'polarity': 'negative'}, {'term': 'performance', 'polarity': 'negative'}]"
3,3,It was truly a great computer costing less than one thousand bucks before tax.,"[{'term': 'costing', 'polarity': 'positive'}]"
4,4,Boots up fast and runs great!,"[{'term': 'Boots up', 'polarity': 'positive'}, {'term': 'runs', 'polarity': 'positive'}]"
5,5,"Call tech support, standard email the form and fax it back in to us.","[{'term': 'tech support', 'polarity': 'neutral'}]"
6,6,The service I received from Toshiba went above and beyond the call of duty.,"[{'term': 'service', 'polarity': 'positive'}]"
7,7,I would recommend it just because of the internet speed probably because thats the only thing i really care about.,"[{'term': 'internet speed', 'polarity': 'positive'}]"
8,8,The screen shows great colors.,"[{'term': 'screen', 'polarity': 'positive'}]"
9,9,"The battery life has not decreased since I bought it, so i'm thrilled with that.","[{'term': 'battery life', 'polarity': 'positive'}]"
10,10,The price and features more than met my needs.,"[{'term': 'price', 'polarity': 'positive'}, {'term': 'features', 'polarity': 'positive'}]"
11,11,the mouse buttons are hard to push.,"[{'term': 'mouse buttons', 'polarity': 'negative'}]"
12,12,This is the complete opposite to an ergonomic design.,"[{'term': 'design', 'polarity': 'negative'}]"
13,13,The technical service for dell is so 3rd world it might as well not even bother.,"[{'term': 'technical service', 'polarity': 'negative'}]"
14,14,The built in camera is very useful when chatting with other techs in remote buildings on our campus.,"[{'term': 'built in camera', 'polarity': 'positive'}]"
15,15,Keyboard good sized and wasy to use.,"[{'term': 'Keyboard', 'polarity': 'positive'}]"
16,16,Great wifi too.,"[{'term': 'wifi', 'polarity': 'positive'}]"
17,17,Games being the main issue.,"[{'term': 'Games', 'polarity': 'negative'}]"
18,18,The price is another driving influence that made me purchase this laptop.,"[{'term': 'price', 'polarity': 'positive'}]"
19,19,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,"[{'term': 'price tag', 'polarity': 'negative'}, {'term': 'software', 'polarity': 'positive'}, {'term': 'updates', 'polarity': 'positive'}]"
20,20,It's a great product for a great price!,"[{'term': 'price', 'polarity': 'positive'}]"
21,21,Excellent speed for processing data.,"[{'term': 'speed', 'polarity': 'positive'}]"
22,22,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.","[{'term': 'twin packing', 'polarity': 'positive'}, {'term': 'functions', 'polarity': 'positive'}]"
23,23,The switchable graphic card is pretty sweet when you want gaming on the laptop.,"[{'term': 'switchable graphic card', 'polarity': 'positive'}, {'term': 'gaming', 'polarity': 'neutral'}]"
24,24,I would like at least a 4 hr. battery life.,"[{'term': 'battery life', 'polarity': 'neutral'}]"
25,25,It has good speed and plenty of hard drive space.,"[{'term': 'speed', 'polarity': 'positive'}, {'term': 'hard drive space', 'polarity': 'positive'}]"
26,26,"The driver updates don't fix the issue, very frustrating.","[{'term': 'driver updates', 'polarity': 'negative'}]"
27,27,Im glad that it has such great features in it.,"[{'term': 'features', 'polarity': 'positive'}]"
28,28,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,"[{'term': 'performance', 'polarity': 'positive'}]"
