,Unnamed: 0,raw_text,aspectTerms
0,0,But the staff was so horrible to us.,"[{'term': 'staff', 'polarity': 'negative'}]"
1,1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[{'term': 'food', 'polarity': 'positive'}]"
2,2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'neutral'}]"
3,3,"Not only was the food outstanding, but the little 'perks' were great.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'perks', 'polarity': 'positive'}]"
4,4,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[{'term': 'orrechiete with sausage and chicken', 'polarity': 'positive'}, {'term': 'waiters', 'polarity': 'positive'}, {'term': 'meats', 'polarity': 'neutral'}, {'term': 'dish', 'polarity': 'neutral'}]"
5,5,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[{'term': 'Bagels', 'polarity': 'positive'}]"
6,6,Nevertheless the food itself is pretty good.,"[{'term': 'food', 'polarity': 'positive'}]"
7,7,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[{'term': 'toast', 'polarity': 'negative'}, {'term': 'mayonnaise', 'polarity': 'negative'}, {'term': 'bacon', 'polarity': 'negative'}, {'term': 'cheese', 'polarity': 'neutral'}, {'term': 'ingredients', 'polarity': 'negative'}, {'term': 'plate', 'polarity': 'neutral'}, {'term': 'omelet', 'polarity': 'neutral'}]"
8,8,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[{'term': 'drinks', 'polarity': 'neutral'}, {'term': 'check', 'polarity': 'neutral'}]"
9,9,The design and atmosphere is just as good.,"[{'term': 'design', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}]"
10,10,He has visited Thailand and is quite expert on the cuisine.,"[{'term': 'cuisine', 'polarity': 'positive'}]"
11,11,The pizza is the best if you like thin crusted pizza.,"[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'thin crusted pizza', 'polarity': 'neutral'}]"
12,12,"All the money went into the interior decoration, none of it went to the chefs.","[{'term': 'interior decoration', 'polarity': 'positive'}, {'term': 'chefs', 'polarity': 'negative'}]"
13,13,The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[{'term': 'seats', 'polarity': 'negative'}]"
14,14,"I asked for seltzer with lime, no ice.","[{'term': 'seltzer with lime', 'polarity': 'neutral'}]"
15,15,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[{'term': 'pickles', 'polarity': 'positive'}, {'term': 'selection of meats and seafoods', 'polarity': 'positive'}]"
16,16,My suggestion is to eat family style because you'll want to try the other dishes.,"[{'term': 'dishes', 'polarity': 'neutral'}, {'term': 'eat family style', 'polarity': 'positive'}]"
17,17,"Best of all is the warm vibe, the owner is super friendly and service is fast.","[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'owner', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
18,18,Faan's got a great concept but a little rough on the delivery.,"[{'term': 'delivery', 'polarity': 'negative'}]"
19,19,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
20,20,"Great food at REASONABLE prices, makes for an evening that can't be beat!","[{'term': 'food', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
21,21,this little place has a cute interior decor and affordable city prices.,"[{'term': 'interior decor', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
22,22,Two words: Free wine.,"[{'term': 'wine', 'polarity': 'positive'}]"
23,23,The price is reasonable although the service is poor.,"[{'term': 'price', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]"
24,24,"The quantity is also very good, you will come out satisfied.","[{'term': 'quantity', 'polarity': 'positive'}]"
25,25,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[{'term': 'sushi', 'polarity': 'neutral'}, {'term': 'sushi bar', 'polarity': 'neutral'}]"
26,26,The fried rice is amazing here.,"[{'term': 'fried rice', 'polarity': 'positive'}]"
27,27,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[{'term': 'mussels', 'polarity': 'positive'}, {'term': 'puff pastry goat cheese', 'polarity': 'positive'}, {'term': 'salad with a delicious dressing', 'polarity': 'positive'}, {'term': 'hanger steak au poivre', 'polarity': 'positive'}, {'term': 'courses', 'polarity': 'neutral'}]"
28,28,it's a perfect place to have a amanzing indian food.,"[{'term': 'indian food', 'polarity': 'positive'}]"
29,29,The place is so cool and the service is prompt and curtious.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]"
30,30,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[{'term': 'broth with noodles', 'polarity': 'positive'}]"
31,31,I just wonder how you can have such a delicious meal for such little money.,"[{'term': 'meal', 'polarity': 'positive'}, {'term': 'money', 'polarity': 'positive'}]"
32,32,The food was delicious but do not come here on a empty stomach.,"[{'term': 'food', 'polarity': 'conflict'}]"
33,33,The wine list is excellent.,"[{'term': 'wine list', 'polarity': 'positive'}]"
34,34,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","[{'term': 'Thai food', 'polarity': 'positive'}]"
35,35,They wouldnt even let me finish my glass of wine before offering another.,"[{'term': 'glass of wine', 'polarity': 'neutral'}]"
36,36,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","[{'term': 'specials', 'polarity': 'neutral'}]"
37,37,This is a consistently great place to dine for lunch or dinner.,"[{'term': 'lunch', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}, {'term': 'dine', 'polarity': 'positive'}]"
38,38,"Nice atmosphere, the service was very pleasant and the desert was good.","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'desert', 'polarity': 'positive'}]"
39,39,After really enjoying ourselves at the bar we sat down at a table and had dinner.,"[{'term': 'bar', 'polarity': 'positive'}, {'term': 'table', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}]"
40,40,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'environment', 'polarity': 'positive'}]"
41,41,Try the lasagnette appetizer.,"[{'term': 'lasagnette appetizer', 'polarity': 'positive'}]"
42,42,I liked the beer selection!,"[{'term': 'beer selection', 'polarity': 'positive'}]"
43,43,"Great food, good size menu, great service and an unpretensious setting.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'setting', 'polarity': 'positive'}]"
44,44,Go here for a romantic dinner but not for an all out wow dining experience.,"[{'term': 'dinner', 'polarity': 'positive'}, {'term': 'dining', 'polarity': 'positive'}]"
45,45,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"[{'term': 'Dosa', 'polarity': 'neutral'}]"
46,46,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[{'term': 'Wine list selection', 'polarity': 'positive'}, {'term': 'wine-by-the-glass', 'polarity': 'positive'}]"
47,47,"With the great variety on the menu , I eat here often and never get bored .","[{'term': 'menu', 'polarity': 'positive'}]"
48,48,The menu is very limited - i think we counted 4 or 5 entrees.,"[{'term': 'menu', 'polarity': 'negative'}, {'term': 'entrees', 'polarity': 'negative'}]"
49,49,The menu is limited but almost all of the dishes are excellent.,"[{'term': 'menu', 'polarity': 'negative'}, {'term': 'dishes', 'polarity': 'positive'}]"
50,50,Not too crazy about their sake martini.,"[{'term': 'sake martini', 'polarity': 'negative'}]"
51,51,"Great bagels, spreads and a good place to hang out in.","[{'term': 'bagels', 'polarity': 'positive'}, {'term': 'spreads', 'polarity': 'positive'}]"
52,52,"The service varys from day to day- sometimes they're very nice, and sometimes not.","[{'term': 'service', 'polarity': 'conflict'}]"
53,53,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[{'term': 'table', 'polarity': 'neutral'}]"
54,54,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[{'term': 'food', 'polarity': 'positive'}]"
55,55,We always have a delicious meal and always leave feeling satisfied.,"[{'term': 'meal', 'polarity': 'positive'}]"
56,56,"Dip the ingredients in with your chopsticks, swirl them around, and eat.","[{'term': 'ingredients', 'polarity': 'neutral'}, {'term': 'chopsticks', 'polarity': 'neutral'}]"
57,57,First went here to enjoy their garden terrace.,"[{'term': 'garden terrace', 'polarity': 'positive'}]"
58,58,The pizza was pretty good and huge.,"[{'term': 'pizza', 'polarity': 'positive'}]"
59,59,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","[{'term': 'cuisine', 'polarity': 'neutral'}]"
60,60,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"[{'term': 'atmosphere', 'polarity': 'positive'}]"
61,61,They are often crowded on the weekends but they are efficient and accurate with their service.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'crowded', 'polarity': 'negative'}]"
62,62,All my co-workers were amazed at how small the dish was.,"[{'term': 'dish', 'polarity': 'negative'}]"
63,63,"The atmosphere is unheralded, the service impecible, and the food magnificant.","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
64,64,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","[{'term': 'grilled branzino', 'polarity': 'negative'}]"
65,65,"The wait staff is friendly, and the food has gotten better and better!","[{'term': 'wait staff', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
66,66,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'French food', 'polarity': 'positive'}, {'term': 'packed', 'polarity': 'negative'}]"
67,67,Right off the L in Brooklyn this is a nice cozy place with good pizza.,"[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]"
68,68,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"[{'term': 'pre-theater menu', 'polarity': 'positive'}]"
69,69,I also ordered for delivery and the restaurant forgot half the order.,"[{'term': 'delivery', 'polarity': 'negative'}, {'term': 'order', 'polarity': 'negative'}]"
70,70,Our server checked on us maybe twice during the entire meal.,"[{'term': 'server', 'polarity': 'negative'}, {'term': 'meal', 'polarity': 'neutral'}]"
71,71,The strong scents coming from the left and right of me negatively affected my taste buds.,"[{'term': 'scents', 'polarity': 'negative'}]"
72,72,We had the lobster sandwich and it was FANTASTIC.,"[{'term': 'lobster sandwich', 'polarity': 'positive'}]"
73,73,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","[{'term': 'check', 'polarity': 'negative'}]"
74,74,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[{'term': 'Spider Roll', 'polarity': 'conflict'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'shell crab', 'polarity': 'positive'}]"
75,75,Deep Fried Skewers are good and still rare to find in NYC.,"[{'term': 'Deep Fried Skewers', 'polarity': 'positive'}]"
76,76,"I have tried to make reservations, but both times, the hostess didn't have my name.","[{'term': 'reservations', 'polarity': 'neutral'}, {'term': 'hostess', 'polarity': 'negative'}]"
77,77,I also recommend the rice dishes or the different varieties of congee (rice porridge).,"[{'term': 'rice dishes', 'polarity': 'positive'}, {'term': 'congee (rice porridge)', 'polarity': 'positive'}]"
78,78,Their tuna tartar appetizer is to die for.,"[{'term': 'tuna tartar appetizer', 'polarity': 'positive'}]"
79,79,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","[{'term': 'Food', 'polarity': 'conflict'}, {'term': 'chef', 'polarity': 'positive'}, {'term': 'fish dishes', 'polarity': 'positive'}, {'term': 'soups', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'positive'}, {'term': 'cuisine', 'polarity': 'positive'}]"
80,80,"If you love wine and cheese and delicious french fare, you'll love Artisanal!","[{'term': 'wine', 'polarity': 'positive'}, {'term': 'french fare', 'polarity': 'positive'}, {'term': 'cheese', 'polarity': 'positive'}]"
81,81,I love Indian food and consider myself to be quite an expert on it.,"[{'term': 'Indian food', 'polarity': 'positive'}]"
82,82,Some baby pizzas get their wish.,"[{'term': 'baby pizzas', 'polarity': 'neutral'}]"
83,83,Overall A oh ya even though there is waiting it is deff worth it,"[{'term': 'waiting', 'polarity': 'negative'}]"
84,84,The lava cake dessert was incredible and I recommend it.,"[{'term': 'lava cake dessert', 'polarity': 'positive'}]"
85,85,VT is what baby pizzas hope to be when they grow up.,"[{'term': 'baby pizzas', 'polarity': 'neutral'}]"
86,86,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","[{'term': 'service', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}, {'term': 'managers', 'polarity': 'negative'}]"
87,87,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
88,88,The last time I went we were seated at a table in a corridor next to the kitchen.,"[{'term': 'table', 'polarity': 'negative'}]"
89,89,good selection of wines ranging from affordable to high end.,"[{'term': 'selection of wines', 'polarity': 'positive'}]"
90,90,"Nice restaurant overall, with classic upscale Italian decor.","[{'term': 'Italian decor', 'polarity': 'positive'}]"
91,91,Not impressed with the food.,"[{'term': 'food', 'polarity': 'negative'}]"
92,92,The entire dining experience was wonderful!,"[{'term': 'dining experience', 'polarity': 'positive'}]"
93,93,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"[{'term': 'wine selection', 'polarity': 'positive'}, {'term': 'reservation', 'polarity': 'neutral'}]"
