,Sentence
0,"Boot time is super fast, around anywhere from 35 seconds to 1 minute."
1,tech support would not fix the problem unless I bought your plan for $150 plus.
2,but in resume this computer rocks!
3,Set up was easy.
4,Did not enjoy the new Windows 8 and touchscreen functions.
5,"I expected so as it's an Apple product, but I was glad to see my expectations exceeded, this is THE laptop to buy right now."
6,"Other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the $350 price tag."
7,excellent in every way.
8,No installation disk (DVD) is included.
9,"It's fast, light, and simple to use."
10,"Works well, and I am extremely happy to be back to an apple OS."
11,This mac has been a problem since we got it.
12,Sure it's not light and slim but the features make up for it 100%.
13,"I am pleased with the fast log on, speedy WiFi connection and the long battery life (>6 hrs)."
14,The Apple engineers have not yet discovered the delete key.
15,Made interneting (part of my business) very difficult to maintain.
16,"Luckily, for all of us contemplating the decision, the Mac Mini is priced just right."
17,Small and still VERY powerful.
18,I had gotten this model for  $1199.00 on my State's tax-free weekend and had a $100 off coupon for a MacBook at the local BestBuy!
19,"Super light, super sexy and everything just works."
20,"Only problem that I had was that the track pad was not very good for me, I only had a problem once or twice with it, But probably my computer was a bit defective."
21,And if you are switching from a pc I hilghy sugest this one.
22,It is super fast and has outstanding graphics.
23,But the mountain lion is just too slow.
24,Strong build though which really adds to its durability.
25,The battery life is excellent- 6-7 hours without charging.
26,I enjoy having apple products.
27,I've had my computer for 2 weeks already and it works perfectly.
28,I will never go back to a PC again!
29,And I may be the only one but I am really liking Windows 8.
30,The baterry is very longer.
31,And it's so quiet that I don't hear it at all.
32,Its size is ideal and the weight is acceptable.
33,"I know Apples are more expensive than PCs, but he thinks it is worth every penny."
34,To me it's a workhorse... and quiet as can be... you even save big bucks not dishing out any extra to Uncle Sam... Definite Buy...
35,I can say that I am fully satisfied with the performance that the computer has supplied.
36,"I'm pretty sure when I bought it, my bank account went 'ouch!"
37,Thank you so much for the great item.
38,"This laptop has only 2 USB ports, and they are both on the same side."
39,It's annoying very much and I won't ever buy any Acer products.
40,This is why I purchased a BRAND NEW LAPTOP in the first place so it wouldn't have ANY problems.
41,It has so much more speed and the screen is very sharp.
42,"As for the laptop, this is our 3rd Apple computer in the past 2 years."
43,Everything I wanted and everything I needed and the price was great!
44,It's not inexpensive but the Hardware performance is impressive for a computer this small.
45,It is better than my old acer laptop.
46,"This thing is awesome, everything always works, everything is always easy to set up, everything is compatible, its literally everything I could ask for."
47,I would buy it again in a heartbeat!
48,Keyboard responds well to presses.
49,If someone called me an Apple Fanboy...it would make sense.
50,"Lastly, Windows 8 is annoying."
51,"A scratch on a $1,500 MacBook is unforgivable."
52,I just fell in love with this thing.
53,Everything is so easy and intuitive to setup or configure.
54,"I have no problems yet on my mac so far, and hope it stays like that."
55,This laptop is a great buy.
56,Biggest complaint is Windows 8 .
57,Only 2 usb ports...seems kind of...limited.
58,It has been to early to see if this actually fixes the problem or not though.
59,This device has met my expectations and I'm sure it will meet yours.
60,It has all the expected features and more +plus a wide screen and more than roomy keyboard.
61,"Out of all the laptops I have owned, this is by far the best!"
62,Amazing Performance for anything I throw at it.
63,"I can never go back to a PC now, this machine never freezes or has any problems."
64,Out of the box I noticed how small it was and was exactly what I was looking for.
65,The receiver was full of superlatives for the quality and performance.
66,I was extremely happy with the OS itself.
67,I was looking for something in between a regular laptop and a tablet and this is it.
68,The new MBP offers great portability and gives us confidence that we are not going to need to purchase a new laptop in 18 months.
69,Great purchase and I definitely didn't miss out on the Black Friday deals.
70,"The criticism has waned, and now I'd be the first to recommend an Air for truly portable computing."
71,I would have given it 5 starts was it not for the fact that it had Windows 8
72,"MS Office 2011 for Mac is wonderful, well worth it."
73,"After using it for over a month, an issue started to surface."
74,But the performance of Mac Mini is a huge disappointment.
75,There has been no problem with anything.
76,I believe with Apple - you get what you pay for.
77,They don't just look good; they deliver excellent performance.
78,I have had it over a year now with out a Glitch of any kind..I love the lit up keys and screen display...this thing is Fast and clear as can be.
79,The product is prefect for everyone.
80,The Mountain Lion OS is not hard to figure out if you are familiar with Microsoft Windows.
81,"However, I can refute that OSX is ""FAST""."
82,I waited to review to make sure it is what it is.
83,Enjoy using Microsoft Office!
84,I would suggest this product to anyone.
85,"With no problems,  I'm happy with this purchase because I saved money compared to buying it anywhere else."
86,Incredible graphics and brilliant colors.
87,I needed something affordable from Apple and was tired of dealing with PC laptop after PC laptop.
88,Just bit the bullet and bought the Mac hoping it will last a lot longer….
89,Built-in apps are purely amazing.
90,Cons: Screen resolution.
91,From the speed to the multi touch gestures this operating system beats Windows easily.
92,I really like the size and I'm a fan of the ACERS.
93,"This is by far thee best, most reliable computer I could find."
94,"I opted for the SquareTrade 3-Year Computer Accidental Protection Warranty ($1500-2000) which also support ""accidents"" like drops and spills that are NOT covered by AppleCare."
95,It's light and easy to transport.
96,Once you get past learning how to use the poorly designed Windows 8 Set-Up you may feel frustrated.
97,Very powerful especially for the money.
98,"When my Dell laptop gave up only after 2 1/2 years, I decided to buy MacBook Pro."
99,"It's been time for a new laptop, and the only debate was which size of the Mac laptops, and whether to spring for the retina display."
100,This was a significantly more affordable than getting a new MacBook Pro from Apple.
101,I have always wanted a MacBook Pro.....always!
102,The reason why I choose apple MacBook because of their design and the aluminum casing.
103,The aluminum body sure makes it stand out.
104,"Overall it's an amazing product, 5 stars!"
105,"It is very easy to integrate bluetooth devices, and USB devices are recognized almost instantly."
106,He's thrilled with his new laptop.
107,Amazing product as you would expect from Apple.
108,Nothing wrong with this computer at all!
109,"And the fact that Apple is driving the 13"" RMBP with the Intel4000 graphic chip seems underpowered (to me."
110,I have to wonder why Amazon is even selling this dinosaur.
111,Apple removed the DVD drive Firewire port (will work with adapter) and put the SDXC slot in a silly position on the back.
112,No hassle and no complaints.
113,"LOVE IT I've always been an apple fan boy, but never had the money to buy a mac, only ipads and iphones, and this is my first mac, blew me away completely."
114,The durability of the laptop will make it worth the money.
115,Well designed and fast.
116,And now I am a proud MacBook owner also!
117,"But I was completely wrong, this computer is UNBELIEVABLE amazing and easy to use."
118,Exactly as posted plus a great value.
119,The specs are pretty good too.
120,"I am having a friend look at it , but will probably return it."
121,There were no scratches or dents or any marks at all.
122,"I've only had it one day, but I really do love it and I'm happy it was economical and I'm finally able to own a Mac!"
123,"Since I have always used Apple products, the choice of Macbook Pro was obvious."
124,"Apple is unmatched in product quality,aesthetics,craftmanship, and customer service."
125,This is my first apple laptop.
126,It makes a great gift.
127,It is a great size and amazing windows 8 included!
128,I would recommend to any one lloking for a first class computer!
129,I do not like too much Windows 8.
130,Startup times are incredibly long: over two minutes.
131,I bought this Macbook Pro from Best Buy under a year ago to replace my old Macbook Air.
132,The macbook pro is really responsive.
133,Also stunning colors and speedy
134,it is really expensive though.
135,great price free shipping what else can i ask for!!
136,This mouse is terrific.
137,I will also say it is much better than I expected!
138,This computer does everything i need it to do for school and more.
